inchi_key,smiles,homo (eV),lumo (eV),vertical_excitation_energy (eV),redox_potential_S0 (eV),redox_potential_S1 (eV),redox_potential_T1 (eV),dipole_moment_S0 (D),dipole_moment_S1 (D),dipole_moment_T1 (D),0-0_S1 (eV),0-0_T1 (eV),ionization_potential (eV)
AAACLBGNAMDLRM-UHFFFAOYSA-N,[O-][N+](=O)C1=CC=C(C1)c1cc2c3cc(C4=CC=C(C4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(C1)[N+](=O)[O-])cc(c5ccc4)C1=CC=C(C1)[N+](=O)[O-],,,,,,,,,,,,
AAVCLCWJGYZTDA-DQRAZIAOSA-N,Sc1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)S,-5.82759,-3.021008,,0.84,,0.64,8.24963,,8.4685,,0.2,6.4
ABQDDWFBVUXCCM-UHFFFAOYSA-N,C1=CC=C(C1)c1cc2c3cc(C4=CC=CC4)c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=CC1)cc(c5ccc4)C1=CC=CC1,-5.108121,-2.4278,,,,,1.26878,,,,,
ACHAKXGARSBJCU-FMQUCBEESA-N,ClC1=CC=C(S1(=O)=O)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)Cl,-6.087731,-3.646598,,1.12,,0.76,14.38676,,14.31071,,0.36,6.94
ACTGLTIMWSZFGY-UHFFFAOYSA-N,Cc1ccc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cn1)C,-5.418603,-2.445759,,,,,5.0083,,,,,
ADAZAFCPASNDPP-VXPUYCOJSA-N,O=Cn1c(O)ccc1c1ccc(s1)/N=N\c1ccc(s1)c1ccc(n1C=O)O,-5.578334,-2.912979,,0.57,,0.37,2.0554,,2.1555,,0.2,6.36
ADKRDEGKLBNGBG-UHFFFAOYSA-N,N#Cc1cc([nH]c1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1[nH]cc(c1)C#N,-6.550869,-3.178834,2.16,1.69,-0.6,-0.36,7.2334,7.2334,5.29395,2.29,2.05,7.76
ADNOQZQZUQQVRY-UHFFFAOYSA-N,CC1=CC=C(S1(=O)=O)[C@]1(C)N=N1,-7.045028,-2.519502,2.56,2.05,-0.67,0.45,4.96283,4.96283,5.25159,2.72,1.6,8.37
ADTPNEOAPBZJMN-UHFFFAOYSA-N,N#C/N=C/c1cc2c3cc(/C=N/C#N)c4c5c3c(c3c2c2c1cccc2c(c3)/C=N/C#N)cc(c5ccc4)/C=N/C#N,-6.211815,-3.890412,1.5,1.4,-0.16,0.53,10.0917,10.0917,10.74415,1.56,0.87,0.03
AEJUBZUKERUAJG-UHFFFAOYSA-N,O=Cn1c(Cl)ccc1c1cc2c3cc(c4ccc(n4C=O)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C=O)Cl)cc(c5ccc4)c1ccc(n1C=O)Cl,,,,,,,,,,,,
AEKZZCLDHFTUPJ-FLWNBWAVSA-N,FC(c1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)C(F)(F)F)(F)F,-6.193039,-3.194617,,1.12,,0.91,4.96113,,5.284,,0.21,7.01
AESSLHRQUPMOFD-WCWDXBQESA-N,Oc1ccc(n1C)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(n1C)O,-5.363908,-2.498005,,0.51,,-0.73,0,,0,,1.24,6.05
AFFVXBUJXLTTRV-ROZVNZQISA-N,S/N=C\c1ccc(o1)/N=N/c1ccc(o1)/C=N/S,-6.154399,-3.267271,,1.25,,0.52,0.60609,,1.80965,,0.73,7.06
AFHDJRYYPAMOJU-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccccn1)c1ccccn1,-7.093464,-3.157881,2.55,2.2,-0.5,-0.22,3.72903,3.72903,5.46679,2.7,2.42,7.94
AFVMCDTWPLMQCF-HSFFGMMNSA-N,N#C/C=C\c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=C/C#N,-7.400408,-3.438159,2.72,2.54,-0.26,2.53,5.36799,5.36799,5.34884,2.8,0.01,8.6
AFVPQFMVEBIYAA-UHFFFAOYSA-N,Cc1nnc(nn1)[C@]1(C)N=N1,-7.157411,-3.200059,1.7,2.19,0.4,0.83,2.33757,2.33757,2.50582,1.79,1.36,8.48
AFWGWVQKWXZTQB-UHFFFAOYSA-N,[O-][N+](=O)c1coc(n1)c1cc2c3cc(c4occ(n4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)c1occ(n1)[N+](=O)[O-])cc(c5ccc4)c1occ(n1)[N+](=O)[O-],-5.955756,-3.302646,,,,,1.3294,,,,,
AFXOODAXTQESGF-WCWDXBQESA-N,Sc1ccc(n1C)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(n1C)S,-5.926368,-2.658552,,,,,4.2651,,,,,6.33
AGEDITIIUHHGKA-HUWOUMPJSA-N,O/N=C\c1ccc(s1)/N=N\c1ccc(s1)/C=N\O,-6.365015,-3.162235,,1.26,,1.02,4.45238,,4.52872,,0.24,7.31
AGVURZMQTTWJBU-UHFFFAOYSA-N,FC(OC#Cc1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1C#COC(F)(F)F)(F)F,,,,,,,,,,,,
AHJHWQYOSRYEHZ-UHFFFAOYSA-N,COc1cnc(o1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(o1)OC,-5.347854,-2.620728,,,,,6.69716,,,,,
AHVSIJQUKZCIQD-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(o1)[N+](=O)[O-])c1ncc(o1)[N+](=O)[O-],-7.6298,-3.692041,2.68,,,,5.81624,5.81624,4.17187,2.78,2.49,8.83
AIBYCLNJAVKIQQ-UHFFFAOYSA-N,N#Cc1ncc([nH]1)c1cc2c3cc(c4cnc([nH]4)C#N)c4c5c3c(c3c2c2c1cccc2c(c3)c1cnc([nH]1)C#N)cc(c5ccc4)c1cnc([nH]1)C#N,-5.722282,-2.8874,,,,,1.03327,,,,,
AISBPSZFKSOVKQ-UHFFFAOYSA-N,FC(c1cnc(s1)[C@@]1(N=N1)C(F)(F)F)(F)F,-7.879601,-2.894747,2.81,2.91,-0.15,0.15,0.15014,0.15014,6.29332,3.06,2.76,9.44
AISPCOPFPBLQGL-UHFFFAOYSA-N,CC#Cc1cc2c3cc(C#CC)c4c5c3c(c3c2c2c1cccc2c(c3)C#CC)cc(c5ccc4)C#CC,-5.420508,-2.677056,1.82,,,,0.00046,0.00046,0.00044,1.9,1.12,
AIWCQGOUCCJXMV-UHFFFAOYSA-N,c1coc(c1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccco1,-5.321731,-2.49991,1.77,0.56,-1.34,-0.6,1.71867,1.71867,2.16014,1.9,1.16,6.07
AJLHDUGFRKCPSZ-UHFFFAOYSA-N,Fc1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)F,-5.547313,-2.730662,1.7,0.73,-1.12,-0.43,6.3945,6.3945,7.3166,1.85,1.16,6.38
AJYDRTUPDXCAEO-UHFFFAOYSA-N,Cn1c(O)ccc1[C@]1(O)N=N1,-5.93181,-2.13174,0.85,0.86,-1.03,-0.72,5.11537,5.11537,10.77221,1.89,1.58,7.13
AKDFNBRPQZVILS-UHFFFAOYSA-N,Cc1coc(n1)c1cc2c3cc(c4occ(n4)C)c4c5c3c(c3c2c2c1cccc2c(c3)c1occ(n1)C)cc(c5ccc4)c1occ(n1)C,-5.567721,-2.877876,,,,,2.55432,,2.61144,,0.22,
AKLALPFICIUKQQ-UHFFFAOYSA-N,Clc1ncc([nH]1)c1cc2c3cc(c4cnc([nH]4)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1cnc([nH]1)Cl)cc(c5ccc4)c1cnc([nH]1)Cl,-5.547313,-2.689301,,,,,8.19158,,,,,
AKWQYOVDKSJCTF-MNSGOHHFSA-N,S/N=C\c1ccc(cc1)/N=N/c1ccc(cc1)/C=N\S,-6.342158,-2.958966,,1.54,,0.49,1.57852,,2.89911,,1.05,7.2
AKZNAIBPMTTYEK-UHFFFAOYSA-N,FC(c1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)C(F)(F)F)(F)F,-5.592756,-2.743724,,,,,10.57017,,,,,
ALOYCUJRSMCALL-BYYHNAKLSA-N,N#Cc1ccc(n1C)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(n1C)C#N,-6.284741,-2.819916,,1.52,,0.41,0.00024,,4.2558,,1.11,7.16
ALQCBSRCXHTTHM-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1occ(n1)S)c1occ(n1)S,-6.501888,-3.314891,,1.87,,1.83,1.21103,,0.98859,,0.04,7.51
ALSIHLFPJSTKHW-UHFFFAOYSA-N,OC#Cc1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C#CO,,,,,,,,,,,,
AMAZYTRMFZCCHA-UHFFFAOYSA-N,Oc1csc(n1)[C@]1(O)N=N1,-6.686926,-2.408752,2.21,1.73,-0.71,-0.39,2.99196,2.99196,6.10543,2.44,2.12,8.14
AMDDGRBWNRIHLU-BYYHNAKLSA-N,Clc1cnc(nc1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ncc(cn1)Cl,-6.716858,-3.001416,,1.7,,0.63,0.00051,,3.4341,,1.07,7.38
AONCYTBQCGKYAJ-UHFFFAOYSA-N,c1c[nH]c(c1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1[nH]ccc1,-5.252886,-2.394058,1.78,0.44,-1.48,-0.75,0.7142,0.7142,1.9951,1.92,1.19,5.99
AOYNWEXBKOHTIY-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1[nH]cc(c1)S)c1[nH]cc(c1)S,-6.218346,-3.105363,1.78,1.26,-0.7,-0.5,4.5526,4.5526,7.8507,1.96,1.76,6.98
APAPXDBFWPFJRO-UHFFFAOYSA-N,n1ccc2c(c1)c1ccc3c4c1c1c2c2ccncc2c2c1c1c4c(c4c3cncc4)c3c(c1c1c2cccc1)cncc3,-6.208277,-2.628892,,,,,1.82739,,,,,
APOLHSNYGCCJHV-SQKWQXNLSA-N,S/C=C/O/C=C\c1cc2c3cc(/C=C\O/C=C\S)c4c5c3c(c3c2c2c1cccc2c(c3)/C=C\O/C=C/S)cc(c5ccc4)/C=C\O/C=C\S,,,,,,,,,,,,
APYUXZNVMFPUSK-UHFFFAOYSA-N,Sc1coc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1occ(n1)S,-5.538605,-2.759779,1.76,-4.37,-6.24,-5.52,4.777,4.777,4.3813,1.87,1.15,6.29
AQEFRWAKOPHWLU-UHFFFAOYSA-N,Fc1nnc(nn1)c1cc2c3cc(c4nnc(nn4)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1nnc(nn1)F)cc(c5ccc4)c1nnc(nn1)F,-5.97426,-3.550542,,,,,0.00022,,,,,
AQOQZWYINUJKPQ-HZUVFDMRSA-N,O/N=C/c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1/C=N/O,-5.701874,-2.666988,1.97,0.88,-1.22,-0.38,9.5226,9.5226,10.1603,2.1,1.26,6.81
AQYFGWINIJJWBQ-KTKRTIGZSA-N,c1csc(c1)/N=N\c1cccs1,-6.236577,-2.743452,,1.1,,0.75,5.9175,,4.6741,,0.35,7.17
ARAMHWZMISYVIN-UHFFFAOYSA-N,Clc1ccc(cc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cc1)Cl,-5.423229,-2.424807,1.94,,,,3.8605,3.8605,,2.06,,
AREGVFVNLAREKG-UHFFFAOYSA-N,[O-][N+](=O)c1nnc(nn1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1nnc(nn1)[N+](=O)[O-],-5.897251,-3.812587,,,,,15.12086,,,,,
ARGXWJAMWQYJGG-UHFFFAOYSA-N,N#Cc1ccc(s1)[C@]1(C#N)N=N1,-7.439048,-2.996246,2.5,2.5,-0.18,0.13,5.69421,5.69421,6.15196,2.68,2.37,9.12
AROPSCIYRDYONR-BYYHNAKLSA-N,FC(C1=CC=C(C1)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(C1)C(F)(F)F)(F)F,-5.658608,-3.064546,,0.72,,0.09,3.85805,,3.96751,,0.63,6.59
ARQIAMJICFNIHJ-QURGRASLSA-N,[O-][N+](=O)c1ccc(nc1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(cn1)[N+](=O)[O-],-6.328824,-3.652584,,1.37,,0.62,15.16684,,15.14157,,0.75,7.34
ASOFOXKPUPKKSS-WCWDXBQESA-N,O=Cn1c(ccc1c1ccc(o1)/N=N/c1ccc(o1)c1ccc(n1C=O)C#N)C#N,-6.018342,-3.295571,,1.03,,0.1,5.45639,,6.73765,,0.93,7.05
ASXQSPLVGNGJLQ-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccc([nH]1)S)c1ccc([nH]1)S,-6.202019,-3.084138,1.69,1.13,-0.74,-0.53,3.18977,3.18977,5.5625,1.87,1.66,6.83
ATAVCYXBEHHGRC-UHFFFAOYSA-N,Cc1ccc([nH]1)c1cc2c3cc(c4ccc([nH]4)C)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc([nH]1)C)cc(c5ccc4)c1ccc([nH]1)C,-5.074107,-2.387255,,,,,0.0001,,,,,
ATYJRVIPJARYAE-QURGRASLSA-N,Fc1ccc([nH]1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc([nH]1)F,-5.290982,-2.65692,,0.4,,-0.36,1.44749,,1.60973,,0.76,6.11
AUHXASBOJKVKEA-UHFFFAOYSA-N,ClC1=CC=C(C1)[C@]1(Cl)N=N1,-6.504337,-2.492563,2.06,1.57,-0.69,-0.36,1.24618,1.24618,9.6055,2.26,1.93,8
AUMICKUKXCMVCU-DQRAZIAOSA-N,ClC1=CC=C(C1)c1ccc(s1)/N=N\c1ccc(s1)C1=CC=C(C1)Cl,-5.506768,-3.002232,,0.48,,0.52,5.3334,,0.0093,,-0.04,6.21
AVDSDWZAIPGUGX-UHFFFAOYSA-N,FC(Oc1ccc([nH]1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc([nH]1)OC(F)(F)F)(F)F,-6.28964,-3.109989,1.88,1.29,-0.78,,1.00863,1.00863,,2.07,,7.15
AVHMRWXPUVPPPT-UHFFFAOYSA-N,[O-][N+](=O)C#Cc1cc2c3cc(C#C[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)C#C[N+](=O)[O-])cc(c5ccc4)C#C[N+](=O)[O-],-6.28964,-4.083613,1.45,1.4,-0.07,,0.00099,0.00099,,1.47,,7.65
AVRPZRBBZUJNAE-KVJLFNRQSA-N,N#C/N=C/c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=N/C#N,-8.040148,-3.769049,,3.09,,0.74,4.39308,,7.44214,,2.35,9.33
AWKDEEXFAVIGAF-ISLYRVAYSA-N,C=Cc1ccc(cc1)/N=N/c1ccc(cc1)C=C,-6.33345,-2.737193,,1.58,,0.52,0.09864,,3.51602,,1.06,7.22
AWZZBLPXDOHIMP-UHFFFAOYSA-N,FC(c1cnc(nc1)[C@@]1(N=N1)C(F)(F)F)(F)F,-8.308724,-2.875427,3.42,3.59,0.07,0.47,2.17582,2.17582,5.15724,3.52,3.12,10.06
AXCLPTYHIJAFSU-WCWDXBQESA-N,[O-][N+](=O)c1ccc([nH]1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc([nH]1)[N+](=O)[O-],-6.455629,-3.235434,,1.61,,0.55,0.00017,,7.73269,,1.06,7.44
AXKLERBIHDLHAI-UHFFFAOYSA-N,OC1(O)N=N1,-7.765041,-2.323852,2.4,2.55,-0.13,0.27,3.687,3.687,7.1155,2.68,2.28,9.44
AXQSIRAKZPLURQ-UHFFFAOYSA-N,FC(c1ccc(o1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(o1)C(F)(F)F)(F)F,-5.488536,-2.644675,,,,,0.6122,,,,,
AXWUCDKPOILRRQ-UHFFFAOYSA-N,N#Cc1ccc(n1C)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc(n1C)C#N,-6.621074,-3.232713,2.17,1.89,-0.44,-0.22,7.5151,7.5151,1.74804,2.33,2.11,7.66
AXZRRXTWVUZUPK-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(s1)[N+](=O)[O-])c1ncc(s1)[N+](=O)[O-],-7.467076,-3.710272,2.56,2.46,-0.16,0.07,6.34902,6.34902,4.33062,2.62,2.39,8.69
AYECXPYIIQPIDX-VXPUYCOJSA-N,Sc1ncc([nH]1)c1ccc(s1)/N=N\c1ccc(s1)c1cnc([nH]1)S,-5.711942,-2.811208,,0.57,,0.45,7.16861,,3.94049,,0.12,6.33
AYFMGJCKZUFSLF-UHFFFAOYSA-N,FC(c1cnc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(cn1)C(F)(F)F)(F)F,-5.594117,-2.771752,,,,,3.09029,,,,,
AZBSMPUUXDDOLI-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccco1)c1ccco1,-6.402839,-3.110806,2.13,1.73,-0.52,-0.26,3.2104,3.2104,6.9669,2.25,1.99,7.4
AZBXYFYSDQYJMH-UHFFFAOYSA-N,Fc1csc(n1)[C@]1(F)N=N1,-7.385714,-2.803045,2.46,2.44,-0.26,0.03,4.19089,4.19089,9.8079,2.7,2.41,9.06
AZLDTFMVCQWKEN-UHFFFAOYSA-N,SC#Cc1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1C#CS,,,,,,,,,,,,
AZNYHNFPAAPVTC-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(o1)c1cc2c3cc(c4ccc(o4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(o1)[N+](=O)[O-])cc(c5ccc4)c1ccc(o1)[N+](=O)[O-],,,,,,,,,,,,
AZQCZPHFKSFZPJ-UHFFFAOYSA-N,c1ccc2c(n1)c1ccc3c4c1c1c2c2cccnc2c2c1c1c4c(c4c3nccc4)c3c(c1c1c2cccc1)nccc3,-6.034669,-2.335825,,,,,0.39272,,,,,
AZQLWKPFVGCQSP-XPZLCZKUSA-N,N#C/N=C\c1ccc(cc1)/N=N/c1ccc(cc1)/C=N/C#N,-7.310883,-3.649591,,2.11,,1.1,9.93341,,11.72838,,1.01,8.37
BBXCFOJWLJKRRG-VHXPQNKSSA-N,Clc1cnc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ncc(cn1)Cl,-6.228958,-3.192712,,1.16,,0.93,5.8423,,4.8348,,0.23,6.87
BCAIIJAFDBXREC-OCEACIFDSA-N,Sc1ccc(nc1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(cn1)S,-6.205556,-2.778282,,1.45,,0.36,2.5634,,3.516,,1.09,6.9
BDEQXSJYGBXUJO-ISLYRVAYSA-N,[O-][N+](=O)c1ccc(o1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(o1)[N+](=O)[O-],-6.187597,-3.660203,,1.26,,0.58,1.88802,,1.75605,,0.68,7.24
BDEYIGWYOMXLBM-UHFFFAOYSA-N,FC(OC1=CC=C(S1(=O)=O)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C1=CC=C(S1(=O)=O)OC(F)(F)F)(F)F,-7.115777,-3.454485,2.41,2.23,-0.23,0.77,11.7306,11.7306,11.95622,2.46,1.46,8.14
BDYLORXWYMEOLC-VGKDXWHHSA-N,FC(/N=C/c1ccc(o1)/N=N/c1ccc(o1)/C=N/C(F)(F)F)(F)F,-6.938631,-3.831091,,1.97,,1.2,10.96407,,9.80433,,0.77,8.13
BENYSEOCGASLPP-UHFFFAOYSA-N,N#Cc1cnc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(cn1)C#N,-5.628675,-2.92468,,,,,7.3756,,,,,6.59
BESIOADPVLCNLJ-UHFFFAOYSA-N,c1ccc(nc1)[C@@H]1N=N1,-7.2951,-2.26045,2.85,2.38,-0.61,-0.26,3.094,3.094,7.305,2.99,2.64,8.83
BEXLDUTWEBQKRT-UHFFFAOYSA-N,N#Cc1coc(n1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1occ(n1)C#N,-7.364217,-3.404688,,2.56,,0.07,12.9424,,9.3957,,2.49,8.55
BFAPCIQLGNDZKX-OCEACIFDSA-N,FC(C1=CC=C(S1(=O)=O)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)C(F)(F)F)(F)F,-6.413179,-3.939664,,1.46,,1.02,4.44122,,3.53651,,0.44,7.46
BGXSTWHBPDARFO-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1occ(n1)Cl)c1occ(n1)Cl,-7.002306,-3.361967,2.42,2.34,-0.19,0.03,3.632,3.632,7.9702,2.53,2.31,8.02
BHBANTRZRBDFHW-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncccn1)c1ncccn1,-7.390884,-3.231624,2.78,3.21,0.37,0.69,3.0484,3.0484,1.368,2.84,2.52,8.54
BHBUGJZRMCYZKK-UHFFFAOYSA-N,N#Cc1ccc(o1)c1cc2c3cc(c4ccc(o4)C#N)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(o1)C#N)cc(c5ccc4)c1ccc(o1)C#N,-5.639287,-2.993524,,,,,10.79702,,,,,
BHLMACSDDHWUBI-NURZGURASA-N,F/C=C/O/C=C\c1ccc(s1)/N=N\c1ccc(s1)/C=C\O/C=C/F,-5.621328,-2.835426,,0.59,,0.44,8.906,,7.9847,,0.15,6.18
BHSLUBYNQGBIIN-UHFFFAOYSA-N,Cn1c(S)ccc1[C@]1(S)N=N1,-6.401478,-2.344533,0.89,1.14,-0.77,-0.8,3.2038,3.2038,13.69289,1.91,1.94,7.43
BINABOFLFPOZCD-UHFFFAOYSA-N,Cn1c(Cl)ccc1c1cc2c3cc(c4ccc(n4C)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C)Cl)cc(c5ccc4)c1ccc(n1C)Cl,,,,,,,,,,,,
BINGZICMFAKCDM-UHFFFAOYSA-N,FC(OC#Cc1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C#COC(F)(F)F)(F)F,,,,,,,,,,,,
BIONICZAJIZQSA-UHFFFAOYSA-N,c1cnc2c(c1)c1ccc3c4c1c1c2c2ncccc2c2c1c1c4c(c4c3cccn4)c3c(c1cc2)cccn3,-6.048002,-2.440861,2.47,1.19,-1.34,-0.68,0,0,0,2.53,1.87,6.76
BISKDGONOUMNHM-FMQUCBEESA-N,Fc1ccc(s1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(s1)F,-5.557925,-2.899645,,0.64,,-0.04,3.00126,,3.5401,,0.68,6.37
BIWUTHWQRWYTLG-WCWDXBQESA-N,ClC1=CC=C(S1(=O)=O)c1ccc(cc1)/N=N/c1ccc(cc1)C1=CC=C(S1(=O)=O)Cl,-6.587332,-3.379382,,1.65,,,14.22409,,,,,7.43
BJARRLODZKZMHZ-WCWDXBQESA-N,[O-][N+](=O)c1ncc([nH]1)c1ccc(cc1)/N=N/c1ccc(cc1)c1cnc([nH]1)[N+](=O)[O-],-6.640122,-3.384552,,1.85,,0.79,0.00114,,6.58211,,1.06,7.76
BJCXXAHBHBOQAM-UHFFFAOYSA-N,FC(Oc1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)OC(F)(F)F)(F)F,-5.560647,-2.74971,,,,,7.8842,,,,,
BJEZHFXVFAJIFG-VCFJNTAESA-N,Cl/C=C\c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1/C=C/Cl,-5.41697,-2.539094,1.82,0.59,-1.36,-0.57,3.74955,3.74955,3.89429,1.95,1.16,6.32
BJIMJHQUCFZBNI-UHFFFAOYSA-N,Clc1ccc([nH]1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc([nH]1)Cl,-5.282002,-2.434058,,0.45,,,3.35795,,,,,6.05
BJNMHZQUZGMVFM-UHFFFAOYSA-N,[O-][N+](=O)/N=C/c1cc2c3cc(/C=N/[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)/C=N/[N+](=O)[O-])cc(c5ccc4)/C=N/[N+](=O)[O-],-6.373723,-3.994903,1.5,,,,5.25669,5.25669,,1.57,,
BJWKVXNGCKMTDR-UHFFFAOYSA-N,FC(c1nnc(nn1)c1cc2c3cc(c4nnc(nn4)C(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1nnc(nn1)C(F)(F)F)cc(c5ccc4)c1nnc(nn1)C(F)(F)F)(F)F,,,,,,,,,,,,
BKDVNRQEULOUNV-UHFFFAOYSA-N,FC(Oc1ncc([nH]1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-7.063259,-2.754064,2.13,2.08,-0.32,-0.03,2.83893,2.83893,7.24403,2.4,2.11,8.54
BKEDHUNWAYXPGC-OCEACIFDSA-N,Clc1ccc([nH]1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc([nH]1)Cl,-5.756841,-2.645763,,0.93,,-0.13,1.39054,,3.33718,,1.06,6.55
BKHOJTLFEMDGBD-UHFFFAOYSA-N,c1csc(c1)c1cc2c3cc(c4cccs4)c4c5c3c(c3c2c2c1cccc2c(c3)c1cccs1)cc(c5ccc4)c1cccs1,-5.358194,-2.562496,,,,,0.0001,,,,,
BKZHFOYOTLVQHE-WCWDXBQESA-N,N#Cc1ccc([nH]1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc([nH]1)C#N,-5.707588,-3.040328,,0.81,,0.09,12.58542,,11.69179,,0.72,6.72
BLDMYIZAXMACJZ-OCEACIFDSA-N,Cc1ccc(n1C)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(n1C)C,-5.588402,-2.556782,,0.73,,-0.35,0.00054,,7.64544,,1.08,6.23
BLJHTKPHOPJQQK-UHFFFAOYSA-N,c1ccc2c(c1)c1c3c4c2c2c(c5c4c4c6c3c(c3c1c1ccccc1[nH]3)c1[nH]c3c(c1c6c1c(c4c4c5[nH]c5c4cccc5)cccc1)cccc3)[nH]c1c2cccc1,,,,,,,,,,,,
BLJXHHDAFQXEEU-UHFFFAOYSA-N,Fc1cnc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(cn1)F,-5.516292,-2.592157,,,,,0.4079,,,,,6.27
BNPZTATZVAUXTB-ISLYRVAYSA-N,n1cnnc(n1)c1ccc(o1)/N=N/c1ccc(o1)c1nncnn1,-6.627061,-3.571766,,1.78,,0.89,0,,0.00014,,0.89,7.62
