inchi_key,smiles,homo (eV),lumo (eV),vertical_excitation_energy (eV),redox_potential_S0 (eV),redox_potential_S1 (eV),redox_potential_T1 (eV),dipole_moment_S0 (D),dipole_moment_S1 (D),dipole_moment_T1 (D),0-0_S1 (eV),0-0_T1 (eV),ionization_potential (eV)
VYKLYIKLUCYICJ-UHFFFAOYSA-N,FC(Oc1nnc(nn1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1nnc(nn1)OC(F)(F)F)(F)F,-5.723643,-3.431628,,,,,6.96098,,,,,
WBVXYFYRGLTZKS-UHFFFAOYSA-N,Clc1cnc(o1)[C@]1(Cl)N=N1,-7.276869,-2.776922,2.44,2.35,-0.33,-0.06,2.34076,2.34076,9.91227,2.68,2.41,8.81
WCCDACIHQNFVPY-UHFFFAOYSA-N,Fc1c[nH]c(c1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1[nH]cc(c1)F,-5.294247,-2.433514,1.81,0.54,-1.39,-0.65,7.65233,7.65233,6.88392,1.93,1.19,6.11
WCXXBFNWCCIYQO-UHFFFAOYSA-N,c1cc2ccc3c4c2c(c1)ccc4c1c2c3ccc3c2c(cc1)ccc3,-5.447991,-2.31324,2.12,0.66,-1.55,-0.65,0,0,0,2.21,1.31,6.37
WEEGOHWOGDDPIA-UHFFFAOYSA-N,FC(Oc1cnc(s1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ncc(s1)OC(F)(F)F)(F)F,-7.069518,-3.341286,2.45,,,,3.3166,3.3166,0.06643,2.57,2.33,8.08
WEOUZDWQNZLNGU-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(cn1)F)c1ncc(cn1)F,-7.369115,-3.251761,2.78,2.56,-0.28,0.02,1.001,1.001,3.169,2.84,2.54,8.31
WFFOCXXHZURLBE-UHFFFAOYSA-N,N#Cc1cnc(s1)c1cc2c3cc(c4ncc(s4)C#N)c4c5c3c(c3c2c2c1cccc2c(c3)c1ncc(s1)C#N)cc(c5ccc4)c1ncc(s1)C#N,,,,,,,,,,,,
WFOUBLVIQPTXSI-UHFFFAOYSA-N,Sc1c[nH]c(c1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1[nH]cc(c1)S,-5.309758,-2.428344,,,,,6.05111,,,,,
WGBAKXGZWXSTOC-UHFFFAOYSA-N,Sc1ccc(s1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(s1)S,-5.419964,-2.524672,,,,,0.6388,,0.6061,,0.25,
WHRKGXUABOOFKL-UHFFFAOYSA-N,FC(OC1=CC=C(C1)c1cc2c3cc(C4=CC=C(C4)OC(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(C1)OC(F)(F)F)cc(c5ccc4)C1=CC=C(C1)OC(F)(F)F)(F)F,,,,,,,,,,,,
WHSJFSWUVLXVTP-UHFFFAOYSA-N,FC(O/C=C\[C@@]1(N=N1)OC(F)(F)F)(F)F,-7.591704,-2.756513,2.43,2.57,-0.13,0.25,1.02557,1.02557,5.10477,2.7,2.32,9.12
WINNKSRVVHQFSJ-VXPUYCOJSA-N,Fc1ccc(o1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(o1)F,-5.670853,-2.980463,,0.66,,0.52,2.7281,,2.9241,,0.14,6.42
WIUMYWHQFTYOIX-UHFFFAOYSA-N,Sc1ccc(cc1)c1cc2c3cc(c4ccc(cc4)S)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(cc1)S)cc(c5ccc4)c1ccc(cc1)S,,,,,,,,,,,,
WIVZPEAHEMKIFC-UHFFFAOYSA-N,FC(OC1=CC=C(S1(=O)=O)[C@@]1(N=N1)OC(F)(F)F)(F)F,-7.602589,-3.201692,2.34,2.6,0.02,0.96,7.01261,7.01261,7.16689,2.58,1.64,8.95
WJFJLKIHZDVYPW-UHFFFAOYSA-N,Cc1cc2c3cc(C)c4c5c3c(c3c2c2c1cccc2c(c3)C)cc(c5ccc4)C,-5.308397,-2.206299,2.08,0.49,-1.67,-0.82,0.0003,0.0003,0.0001,2.16,1.31,6.11
WJHUNVAELKTREP-UHFFFAOYSA-N,N#Cc1cnc(s1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ncc(s1)C#N,-7.248569,-3.477071,2.51,,,,5.33327,5.33327,6.26923,2.63,2.06,8.42
WJXADHNAIVACPR-UHFFFAOYSA-N,COc1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)OC,-5.44391,-2.660457,,,,,2.51277,,,,,
WKFILXOYOYIBMK-UHFFFAOYSA-N,FC(c1ccc(nc1)c1cc2c3cc(c4ccc(cn4)C(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(cn1)C(F)(F)F)cc(c5ccc4)c1ccc(cn1)C(F)(F)F)(F)F,,,,,,,,,,,,
WKISOSHNRHQSIY-UHFFFAOYSA-N,Fc1c(F)cc2c(c1F)c1ccc3c4c1c1c2c2cc(F)c(c(c2c2c1c1c4c(c4c3c(F)c(F)c(c4)F)c3c(c1c1c2cccc1)c(F)c(c(c3)F)F)F)F,,,,,,,,,,,,
WLVHCSKIOYXRPQ-UHFFFAOYSA-N,N#Cc1ccc([nH]1)[C@]1(C#N)N=N1,-7.042851,-2.985361,2.13,2.15,-0.19,0.02,1.58261,1.58261,7.32949,2.34,2.13,8.82
WMNREBJBEXLOKX-NXVVXOECSA-N,FC#Cc1ccc(s1)/N=N\c1ccc(s1)C#CF,-6.126915,-3.014205,,1.08,,0.85,4.9539,,4.1914,,0.23,7.01
WMZSWGHCDQZISW-DQRAZIAOSA-N,O=Cn1c(C)ccc1c1ccc(s1)/N=N\c1ccc(s1)c1ccc(n1C=O)C,-5.698608,-2.919782,,0.61,,0.45,8.75189,,7.9335,,0.16,6.28
WPBWQXSVAOFTLZ-UHFFFAOYSA-N,Cc1ccc(cc1)c1cc2c3cc(c4ccc(cc4)C)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(cc1)C)cc(c5ccc4)c1ccc(cc1)C,,,,,,,,,,,,
WPROCCKHBOXXNL-UHFFFAOYSA-N,FC(O/C=C\c1cc2c3cc(/C=C\OC(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)/C=C/OC(F)(F)F)cc(c5ccc4)/C=C/OC(F)(F)F)(F)F,-5.473298,-2.616103,,,,,5.3016,,,,,0.02
WQICQMWNZMSYSK-IAZLARGGSA-N,O/C=C/O/C=C\c1cc2c3cc(/C=C\O/C=C\O)c4c5c3c(c3c2c2c1cccc2c(c3)/C=C\O/C=C\O)cc(c5ccc4)/C=C\O/C=C\O,-5.201728,-2.474875,,,,,6.21555,,6.13483,,0.22,
WQYHEZANLNWFKU-UHFFFAOYSA-N,FC(/C=C\[C@@]1(N=N1)C(F)(F)F)(F)F,-8.297296,-2.840324,3.04,3.45,0.25,0.61,1.0367,1.0367,2.50558,3.2,2.84,10.12
WRDRUGKVOFFAKI-UHFFFAOYSA-N,O=Cn1c(ccc1c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc(n1C=O)C#N)C#N,-7.038225,-3.36632,2.4,2.25,-0.28,-0.06,0.32021,0.32021,5.4351,2.53,2.31,8.17
WRSBLGGZFBXPFY-UHFFFAOYSA-N,O=Cn1c(ccc1c1cc2c3cc(c4ccc(n4C=O)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C=O)[N+](=O)[O-])cc(c5ccc4)c1ccc(n1C=O)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,,,
WSAUYOSTHKNDPT-VXPUYCOJSA-N,Cc1cnc(s1)c1ccc(s1)/N=N\c1ccc(s1)c1ncc(s1)C,-5.904054,-3.140738,,0.84,,0.68,7.57495,,7.12145,,0.16,6.49
WSZIWLQBWANSMK-UHFFFAOYSA-N,Cn1c(C)ccc1c1cc2c3cc(c4ccc(n4C)C)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C)C)cc(c5ccc4)c1ccc(n1C)C,,,,,,,,,,,,
WTFPGGKIGIMAER-UHFFFAOYSA-N,O=Cn1c(C)ccc1c1cc2c3cc(c4ccc(n4C=O)C)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C=O)C)cc(c5ccc4)c1ccc(n1C=O)C,,,,,,,,,,,,
WTJYNBQOACSSJQ-VVAFTLCXSA-N,[O-][N+](=O)/N=C\c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1/C=N\[N+](=O)[O-],-5.941878,-3.48469,1.59,1.06,-0.61,0.01,16.79749,16.79749,21.87887,1.67,1.05,7.02
WTRVGPBWSQCLPP-UHFFFAOYSA-N,c1ccc2c(c1)c1c3ccsc3c3c4c1c1c2c2ccsc2c2c1c1c4c(c4c3scc4)ccc1c1c2scc1,-5.790311,-2.034595,2.7,,,,0.08795,0.08795,,2.72,,
WVQABVSPOWSGEN-YPKPFQOOSA-N,[O-][N+](=O)C#Cc1ccc(s1)/N=N\c1ccc(s1)C#C[N+](=O)[O-],-6.791145,-3.941025,,1.67,,1.46,3.2027,,1.5644,,0.21,7.94
WWGFGVHBSQZJKC-UHFFFAOYSA-N,O=Cn1c(Cl)ccc1c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(n1C=O)Cl,-5.587586,-2.584265,,,,,7.8468,,,,,
WWGVTGNRMLDCNN-UHFFFAOYSA-N,[O-][N+](=O)c1nnc(nn1)c1cc2c3cc(c4nnc(nn4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)c1nnc(nn1)[N+](=O)[O-])cc(c5ccc4)c1nnc(nn1)[N+](=O)[O-],,,,,,,,,,,,
WWHTVCLFXHSGJM-YPKPFQOOSA-N,Oc1nnc(nn1)c1ccc(s1)/N=N\c1ccc(s1)c1nnc(nn1)O,-6.399574,-3.346728,,1.34,,1.11,5.15271,,4.87363,,0.23,7.22
WXBJQXKHKIOOHO-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1scc(n1)Cl)c1scc(n1)Cl,-6.907882,-3.343463,2.36,2.14,-0.34,0.13,3.63971,3.63971,14.88375,2.48,2.01,7.9
WXPRIPLMRHTAJQ-ZCXUNETKSA-N,n1cnnc(n1)c1ccc(s1)/N=N\c1ccc(s1)c1nncnn1,-6.555223,-3.461832,,1.49,,1.26,3.5269,,2.9583,,0.23,7.46
WZBZECHLFUXAAC-UHFFFAOYSA-N,c1cnc(nc1)[C@@H]1N=N1,-7.715788,-2.235143,3.21,2.81,-0.5,-0.09,4.38496,4.38496,7.97736,3.31,2.9,9.23
WZVJEYGYZXVVSZ-UHFFFAOYSA-N,FC(Oc1coc(n1)c1cc2c3cc(c4occ(n4)OC(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1occ(n1)OC(F)(F)F)cc(c5ccc4)c1occ(n1)OC(F)(F)F)(F)F,,,,,,,,,,,,
WZXCMUFOAYQGOH-YLKSDFICSA-N,FC(/N=C\c1ccc(s1)/N=N\c1ccc(s1)/C=N/C(F)(F)F)(F)F,-6.78271,-3.555984,,1.66,,1.39,4.64406,,3.43082,,0.27,7.86
XAUGSJLRJBNJBS-UHFFFAOYSA-N,O=Cn1c(C#N)ccc1[C@]1(C#N)N=N1,-7.640957,-2.916244,2.48,2.55,-0.21,0.17,6.26786,6.26786,7.89272,2.76,2.38,9.15
XAZVFHMZLBNNPU-UHFFFAOYSA-N,Clc1ccc(cc1)c1cc2c3cc(c4ccc(cc4)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(cc1)Cl)cc(c5ccc4)c1ccc(cc1)Cl,,,,,,,,,,,,
