smiles,imageName,inchiKey
Clc1ncc([nH]1)c1cc2c3cc(c4cnc([nH]4)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1cnc([nH]1)Cl)cc(c5ccc4)c1cnc([nH]1)Cl,29.png,AKLALPFICIUKQQ-UHFFFAOYSA-N
S/N=C\c1ccc(cc1)/N=N/c1ccc(cc1)/C=N\S,30.png,AKWQYOVDKSJCTF-MNSGOHHFSA-N
FC(c1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)C(F)(F)F)(F)F,31.png,AKZNAIBPMTTYEK-UHFFFAOYSA-N
N#Cc1ccc(n1C)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(n1C)C#N,32.png,ALOYCUJRSMCALL-BYYHNAKLSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1occ(n1)S)c1occ(n1)S,33.png,ALQCBSRCXHTTHM-UHFFFAOYSA-N
OC#Cc1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C#CO,34.png,ALSIHLFPJSTKHW-UHFFFAOYSA-N
Oc1csc(n1)[C@]1(O)N=N1,35.png,AMAZYTRMFZCCHA-UHFFFAOYSA-N
Clc1cnc(nc1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ncc(cn1)Cl,36.png,AMDDGRBWNRIHLU-BYYHNAKLSA-N
c1c[nH]c(c1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1[nH]ccc1,37.png,AONCYTBQCGKYAJ-UHFFFAOYSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1[nH]cc(c1)S)c1[nH]cc(c1)S,38.png,AOYNWEXBKOHTIY-UHFFFAOYSA-N
n1ccc2c(c1)c1ccc3c4c1c1c2c2ccncc2c2c1c1c4c(c4c3cncc4)c3c(c1c1c2cccc1)cncc3,39.png,APAPXDBFWPFJRO-UHFFFAOYSA-N
S/C=C/O/C=C\c1cc2c3cc(/C=C\O/C=C\S)c4c5c3c(c3c2c2c1cccc2c(c3)/C=C\O/C=C/S)cc(c5ccc4)/C=C\O/C=C\S,40.png,APOLHSNYGCCJHV-SQKWQXNLSA-N
Sc1coc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1occ(n1)S,41.png,APYUXZNVMFPUSK-UHFFFAOYSA-N
