smiles,imageName,inchiKey
O=C1C(=CC(=O)c2c1cccn2)/C=N/C(F)(F)F,0.png,AAEBJCSCYHPBRF-FZSIALSZSA-N
Clc1ccc([nH]1)C1=CC(=O)c2c(C1=O)cccn2,1.png,AAHGPKDQAXQSJI-UHFFFAOYSA-N
N#Cc1cnc2c(n1)C(=O)C(=C(C2=O)c1scc(n1)F)c1scc(n1)F,2.png,AAHTVBYDUMLUIQ-UHFFFAOYSA-N
O=C1C=C(C(=O)c2c1nccc2)c1ccc(n1C)Cl,3.png,AAIKASVITWZPIQ-UHFFFAOYSA-N
N#Cc1cc(C#N)nc2c1C(=O)C(=CC2=O)c1cnc([nH]1)N(=O)=O,4.png,AAUFRJVSRZUMGK-UHFFFAOYSA-N
N#Cc1nc2C(=O)C=C(C(=O)c2nc1C#N)n1ccnc1,5.png,AAXCPWOMCZILJH-UHFFFAOYSA-N
N#Cc1c(C#N)cnc2c1C(=O)C(=CC2=O)c1nnc(nn1)Cl,6.png,AAZBLPBJOXINPZ-UHFFFAOYSA-N
N#Cc1cnc2c(n1)C(=O)C(=CC2=O)n1nnc(c1)N(C)C,7.png,ABGYAPVQQNIGGD-UHFFFAOYSA-N
N#Cc1cnc2c(n1)C(=O)C(=C(C2=O)c1ccc([nH]1)N(=O)=O)c1ccc([nH]1)N(=O)=O,8.png,ABIXQWZLYCACDC-UHFFFAOYSA-N
COc1ccc2c(n1)C(=O)C=C(C2=O)C1=CC=C(S1(=O)=O)OC,9.png,ABLNDALJXHEKSG-UHFFFAOYSA-N
N#Cc1nc2C(=O)C=C(C(=O)c2nc1C#N)c1ccc(o1)Cl,10.png,ABNPIVAOOKHMEM-UHFFFAOYSA-N
O=Cn1c(C)ccc1C1=C(C(=O)c2c(C1=O)nc(C#N)c(n2)C#N)c1ccc(n1C=O)C,11.png,ABTFKSYTOTWRGS-UHFFFAOYSA-N
N#Cc1c(C#N)cnc2c1C(=O)C(=CC2=O)c1ccc(cc1)C,12.png,ABTITEIQRBHRHU-UHFFFAOYSA-N
COc1nc2C(=O)C(=C(C(=O)c2nc1OC)c1ccc(cc1)N(=O)=O)c1ccc(cc1)N(=O)=O,13.png,ABUHCXZUPUZYKE-UHFFFAOYSA-N
N#Cc1cnc2c(n1)C(=O)C(=C(C2=O)c1[nH]cc(c1)C)c1[nH]cc(c1)C,14.png,ABUNOBOCTFPQQL-UHFFFAOYSA-N
N#Cc1cc(C#N)nc2c1C(=O)C(=CC2=O)C1=CC=C(C1)N(C)C,15.png,ACDZNJFKZXXCGN-UHFFFAOYSA-N
N#CC1=CC=C(S1(=O)=O)C1=CC(=O)c2c(C1=O)cccn2,16.png,ACJKCPFLJSYLLG-UHFFFAOYSA-N
