smiles,imageName,inchiKey
[O-][N+](=O)c1coc(n1)c1cc2c3cc(c4occ(n4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)c1occ(n1)[N+](=O)[O-])cc(c5ccc4)c1occ(n1)[N+](=O)[O-],30.png,AFWGWVQKWXZTQB-UHFFFAOYSA-N
Sc1ccc(n1C)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(n1C)S,31.png,AFXOODAXTQESGF-VHXPQNKSSA-N
O/N=C\c1ccc(s1)/N=N\c1ccc(s1)/C=N\O,32.png,AGEDITIIUHHGKA-HUWOUMPJSA-N
O/N=C\c1ccc(s1)/N=N/c1ccc(s1)/C=N\O,33.png,AGEDITIIUHHGKA-NSFMOVNFSA-N
COc1cnc(o1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(o1)OC,34.png,AHJHWQYOSRYEHZ-UHFFFAOYSA-N
FC(c1ccc(o1)c1ccc([nH]1)/N=N\c1ccc([nH]1)c1ccc(o1)C(F)(F)F)(F)F,35.png,AHUFQCCLEPEHAM-DQSJHHFOSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(o1)[N+](=O)[O-])c1ncc(o1)[N+](=O)[O-],36.png,AHVSIJQUKZCIQD-UHFFFAOYSA-N
COc1ccc(s1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(s1)OC,37.png,AIBUDYASXYCUJS-FMQUCBEESA-N
COc1ccc(s1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(s1)OC,38.png,AIBUDYASXYCUJS-VXPUYCOJSA-N
N#Cc1ncc([nH]1)c1cc2c3cc(c4cnc([nH]4)C#N)c4c5c3c(c3c2c2c1cccc2c(c3)c1cnc([nH]1)C#N)cc(c5ccc4)c1cnc([nH]1)C#N,39.png,AIBYCLNJAVKIQQ-UHFFFAOYSA-N
SC#Cc1cc(C#N)cc(c1C#N)C#CS,40.png,AIFHBMMGUWWCNR-UHFFFAOYSA-N
COc1cnc(s1)c1ccc(s1)/N=N/c1ccc(s1)c1ncc(s1)OC,41.png,AIMCWSZPGPELED-FMQUCBEESA-N
COc1cnc(s1)c1ccc(s1)/N=N\c1ccc(s1)c1ncc(s1)OC,42.png,AIMCWSZPGPELED-VXPUYCOJSA-N
Sc1cc([nH]c1)c1ccc(cc1)/N=N/c1ccc(cc1)c1[nH]cc(c1)S,43.png,AIMQZQFEGVNVMF-WCWDXBQESA-N
FC(c1cnc(s1)[C@@]1(N=N1)C(F)(F)F)(F)F,44.png,AISBPSZFKSOVKQ-UHFFFAOYSA-N
CC#Cc1cc2c3cc(C#CC)c4c5c3c(c3c2c2c1cccc2c(c3)C#CC)cc(c5ccc4)C#CC,45.png,AISPCOPFPBLQGL-UHFFFAOYSA-N
c1coc(c1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccco1,46.png,AIWCQGOUCCJXMV-UHFFFAOYSA-N
N#Cc1ccc(nc1)c1ccc([nH]1)/N=N\c1ccc([nH]1)c1ccc(cn1)C#N,47.png,AJBIYLGVQLXABL-DQSJHHFOSA-N
Fc1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)F,48.png,AJLHDUGFRKCPSZ-UHFFFAOYSA-N
Fc1cnc(nc1)c1cc2ccc3c4c2c2c1ccc1c2c4c(cc1c1ncc(cn1)F)cc3,49.png,AJNJHNSKQXZTRS-UHFFFAOYSA-N
Cn1c(O)ccc1[C@]1(O)N=N1,50.png,AJYDRTUPDXCAEO-UHFFFAOYSA-N
Cc1coc(n1)c1cc2c3cc(c4occ(n4)C)c4c5c3c(c3c2c2c1cccc2c(c3)c1occ(n1)C)cc(c5ccc4)c1occ(n1)C,51.png,AKDFNBRPQZVILS-UHFFFAOYSA-N
